snapshot_at,org,programs,city,state,totalRegisteredCameras,totalIntegratedCameras,totalOwnedCameras,totalSharedCameras,totalMaxCameras,subscribedCameras,observed_at,program_count,status,http_status,error,missing_metrics,source_url
2026-09-15T23:08:15Z,charlestonpd,Connect Charleston,Charleston,SC,300,577,501,25,500,466,2026-09-15T23:09:03Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/charlestonpd/stats/
2026-09-15T23:08:15Z,charlottecounty,Connect Charlotte County,Charlotte County,FL,2327,3826,353,3391,1500,330,2026-09-15T23:09:04Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/charlottecounty/stats/
2026-09-15T23:08:15Z,charlottemecklenburg,Connect Charlotte,Charlotte,NC,3086,1728,1523,21,1500,1377,2026-09-15T23:09:05Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/charlottemecklenburg/stats/
2026-09-15T23:08:15Z,chattanoogapd,Dragonfly Community Connect,Chattanooga,TN,0,774,773,1,1500,764,2026-09-15T23:09:06Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/chattanoogapd/stats/
2026-09-15T23:08:15Z,cherokeega,Connect Cherokee,Cherokee County,GA,624,13420,622,548,2500,566,2026-09-15T23:09:07Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cherokeega/stats/
2026-09-15T23:08:15Z,chesterfieldcounty,Chesterfield Community Connect Program,Chesterfield County,VA,768,11171,1010,10099,4500,949,2026-09-15T23:09:08Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/chesterfieldcounty/stats/
2026-09-15T23:08:15Z,chicagoheights,Connect Chicago Heights,Chicago Heights,IL,221,1221,1168,0,500,725,2026-09-15T23:09:09Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/chicagoheights/stats/
2026-09-15T23:08:15Z,chicopee,Connect Chicopee,Chicopee,MA,128,512,512,0,1500,509,2026-09-15T23:09:10Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/chicopee/stats/
2026-09-15T23:08:15Z,ciceropd,Cicero SAFE (Shared Access For Enforcement),Cicero,IL,29,549,549,0,1500,541,2026-09-15T23:09:11Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/ciceropd/stats/
2026-09-15T23:08:15Z,cincinnatipd,Connect Cincinnati,Cincinnati,OH,1713,844,801,43,1500,746,2026-09-15T23:09:12Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cincinnatipd/stats/
2026-09-15T23:08:15Z,cityofatlanta,Connect Atlanta,Atlanta,GA,17517,28373,2583,11643,29250,2549,2026-09-15T23:09:13Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofatlanta/stats/
2026-09-15T23:08:15Z,cityofcanton,Connect Canton,Canton,MS,0,31,0,31,10000,0,2026-09-15T23:09:14Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofcanton/stats/
2026-09-15T23:08:15Z,cityofdoralpd,Connect Doral,Doral,FL,221,3425,397,3028,10000,243,2026-09-15T23:09:15Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofdoralpd/stats/
2026-09-15T23:08:15Z,cityofhawthorne,Connect Hawthorne,Hawthorne,CA,0,3715,874,2841,1500,844,2026-09-15T23:09:16Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofhawthorne/stats/
2026-09-15T23:08:15Z,cityofmanchester,Connect Manchester,City of Manchester,NH,584,1006,436,570,1500,434,2026-09-15T23:09:17Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofmanchester/stats/
2026-09-15T23:08:15Z,cityofmiamipd,Connect Miami,Miami,FL,2406,4383,1249,2905,1500,1231,2026-09-15T23:09:18Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofmiamipd/stats/
2026-09-15T23:08:15Z,cityofnewark,Connect Newark,Newark,NJ,1208,929,497,231,500,488,2026-09-15T23:09:19Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofnewark/stats/
2026-09-15T23:08:15Z,cityofomaha,Connect Omaha,Omaha,NE,1257,1559,760,698,1500,685,2026-09-15T23:09:20Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofomaha/stats/
2026-09-15T23:08:15Z,cityofoxford,Connect Oxford,City of Oxford,AL,12,1126,324,753,1500,321,2026-09-15T23:09:21Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofoxford/stats/
2026-09-15T23:08:15Z,cityofroswell,Connect Roswell,Roswell,GA,653,10641,512,373,2793,511,2026-09-15T23:09:22Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofroswell/stats/
2026-09-15T23:08:15Z,cityofshreveport,Connect Shreveport,Shreveport,LA,1141,2829,2320,509,1500,2332,2026-09-15T23:09:23Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofshreveport/stats/
2026-09-15T23:08:15Z,cityofstarkville,Connect Starkville,Starkville,MS,879,851,574,277,500,563,2026-09-15T23:09:24Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofstarkville/stats/
2026-09-15T23:08:15Z,cityofws,Connect Winston-Salem,the City of Winston-Salem,NC,1678,3276,1740,362,2000,1724,2026-09-15T23:09:25Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofws/stats/
2026-09-15T23:08:15Z,claycountysheriff,Connect Clay County,Clay County,FL,158,3433,3265,126,2000,3260,2026-09-15T23:09:26Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/claycountysheriff/stats/
2026-09-15T23:08:15Z,claytoncountypd,Connect Clayton County,Clayton County,GA,398,10827,1025,294,8814,1010,2026-09-15T23:09:27Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/claytoncountypd/stats/
2026-09-15T23:08:15Z,clearwaterpd,Clearwater Camera Sharing,Clearwater,FL,693,912,842,70,10000,792,2026-09-15T23:09:28Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/clearwaterpd/stats/
2026-09-15T23:08:15Z,clermontpd,Connect Clermont,Clermont,FL,74,664,69,595,150,63,2026-09-15T23:09:29Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/clermontpd/stats/
2026-09-15T23:08:15Z,clevelanddps,Safe Smart CLE,Cleveland,OH,1763,4169,4050,0,2375,4053,2026-09-15T23:09:30Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/clevelanddps/stats/
2026-09-15T23:08:15Z,clevelandmetroparksoh,Cleveland Metroparks Connect,Cleveland Metroparks,OH,0,24,24,0,0,24,2026-09-15T23:09:31Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/clevelandmetroparksoh/stats/
2026-09-15T23:08:15Z,cobbcountypd,Connect Cobb ,Cobb County,GA,3543,12810,1277,4093,9008,997,2026-09-15T23:09:32Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cobbcountypd/stats/
2026-09-15T23:08:15Z,collegeparkga,Connect College Park,College Park,GA,0,10505,171,426,2539,143,2026-09-15T23:09:33Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/collegeparkga/stats/
2026-09-15T23:08:15Z,coloradospringspd,Together COS,Colorado Springs,CO,1313,1084,945,139,750,844,2026-09-15T23:09:34Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/coloradospringspd/stats/
2026-09-15T23:08:15Z,coltonpdca,Connect Colton,Colton,CA,345,28,19,9,0,19,2026-09-15T23:09:35Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/coltonpdca/stats/
2026-09-15T23:08:15Z,columbuspdga,Connect Columbus,"Columbus, Georgia",GA,2439,566,566,0,1500,557,2026-09-15T23:09:36Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/columbuspdga/stats/
2026-09-15T23:08:15Z,connectnewportrichey,Connect New Port Richey,New Port Richey,FL,6,8,8,0,0,8,2026-09-15T23:09:37Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/connectnewportrichey/stats/
2026-09-15T23:08:15Z,connecttallahassee,Connect Tallahassee,Tallahassee,FL,253,369,369,0,1500,349,2026-09-15T23:09:38Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/connecttallahassee/stats/
2026-09-15T23:08:15Z,covinapdca,SaferCovina,Covina,CA,15,2,2,0,150,0,2026-09-15T23:09:39Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/covinapdca/stats/
2026-09-15T23:08:15Z,crestviewpdfl,Connect Crestview,Crestview,FL,0,52,52,0,0,20,2026-09-15T23:09:40Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/crestviewpdfl/stats/
2026-09-15T23:08:15Z,crestwoodpdil,Connect Crestwood,Crestwood,MN,0,90,4,86,0,0,2026-09-15T23:09:41Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/crestwoodpdil/stats/
2026-09-15T23:08:15Z,cummingpdga,Connect Cumming,Cumming,GA,5,3094,167,367,1500,149,2026-09-15T23:09:42Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cummingpdga/stats/
2026-09-15T23:08:15Z,dallaspd,Connect Dallas,Dallas,TX,4054,1499,1140,358,1500,1040,2026-09-15T23:09:43Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/dallaspd/stats/
2026-09-15T23:08:15Z,dalycitypdca,Connect Daly City,Daly City,CA,23,87,46,41,450,15,2026-09-15T23:09:44Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/dalycitypdca/stats/
2026-09-15T23:08:15Z,danvillepd,"One Community, Connect Danville",Danville,VA,418,1755,342,1413,500,341,2026-09-15T23:09:45Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/danvillepd/stats/
2026-09-15T23:08:15Z,dbsfl,Connect Daytona Beach Shores,Daytona Beach Shores,FL,3,72,72,0,0,70,2026-09-15T23:09:46Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/dbsfl/stats/
2026-09-15T23:08:15Z,dcmetro,CameraConnectDC,Washington DC,DC,44118,1454,1259,119,4500,1127,2026-09-15T23:09:47Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/dcmetro/stats/
2026-09-15T23:08:15Z,dealpdnj,Connect Deal,Deal,NJ,322,976,224,0,0,224,2026-09-15T23:09:48Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/dealpdnj/stats/
2026-09-15T23:08:15Z,dearbornpdmi,Connect Dearborn,Dearborn,MI,686,674,513,4,1500,499,2026-09-15T23:09:49Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/dearbornpdmi/stats/
2026-09-15T23:08:15Z,dekalbcountyga,Connect DeKalb County,DeKalb County,GA,3513,9123,901,44,1500,751,2026-09-15T23:09:50Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/dekalbcountyga/stats/
2026-09-15T23:08:15Z,delraybeach,Connect Delray Beach,Delray Beach,FL,887,523,297,0,500,286,2026-09-15T23:09:51Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/delraybeach/stats/
2026-09-15T23:08:15Z,dentonpdtx,Denton Connects,Denton,TX,2,186,186,0,0,183,2026-09-15T23:09:52Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/dentonpdtx/stats/
2026-09-15T23:08:15Z,dothanpd,Connect Dothan,Dothan,AL,0,186,186,0,0,178,2026-09-15T23:09:53Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/dothanpd/stats/
2026-09-15T23:08:15Z,douglascountysonv,Safer Douglas County,Douglas County,NV,0,50,50,0,100,50,2026-09-15T23:09:54Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/douglascountysonv/stats/
2026-09-15T23:08:15Z,douglasvillepolice,Connect Douglasville,Douglasville ,GA,260,12889,397,3354,10000,397,2026-09-15T23:09:55Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/douglasvillepolice/stats/
2026-09-15T23:08:15Z,duncanvillepdtx,Connect Duncanville,Duncanville,TX,15,128,120,8,0,116,2026-09-15T23:09:56Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/duncanvillepdtx/stats/
2026-09-15T23:08:15Z,eaganpdmn,Connect Eagan,Eagan,MN,21,76,76,0,0,76,2026-09-15T23:09:57Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/eaganpdmn/stats/
2026-09-15T23:08:15Z,eastbatonrougesola,Connect East Baton Rouge,East Baton Rouge,LA,28,66,27,39,500,27,2026-09-15T23:09:58Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/eastbatonrougesola/stats/
2026-09-15T23:08:15Z,eastpointpdga,Connect East Point,East Point,GA,60,5112,382,469,500,374,2026-09-15T23:09:59Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/eastpointpdga/stats/
2026-09-15T23:08:15Z,elcajonpdca,Connect El Cajon,El Cajon,CA,51,221,185,36,0,166,2026-09-15T23:10:00Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/elcajonpdca/stats/
2026-09-15T23:08:15Z,elizabethnj,Connect Elizabeth,Elizabeth,NJ,184,3442,625,2566,2690,594,2026-09-15T23:10:01Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/elizabethnj/stats/
2026-09-15T23:08:15Z,elyriapdoh,Connect Elyria,Elyria,OH,174,280,231,49,150,219,2026-09-15T23:10:02Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/elyriapdoh/stats/
2026-09-15T23:08:15Z,escambiafl,Star Network,Escambia County,FL,1488,1265,917,109,1500,367,2026-09-15T23:10:03Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/escambiafl/stats/
2026-09-15T23:08:15Z,euclidpdoh,Connect Euclid,Euclid,OH,288,209,209,0,0,209,2026-09-15T23:10:04Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/euclidpdoh/stats/
2026-09-15T23:08:15Z,eurekapdmo,Connect Eureka,Eureka,MO,183,11,0,11,0,0,2026-09-15T23:10:05Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/eurekapdmo/stats/
2026-09-15T23:08:15Z,fairfaxcopd,Connect Fairfax County,Fairfax County,VA,3526,2188,724,1425,1500,623,2026-09-15T23:10:06Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/fairfaxcopd/stats/
2026-09-15T23:08:15Z,farmingtonpd,Connect Farmington,Farmington ,NM,55,545,545,0,1500,529,2026-09-15T23:10:07Z,2,ok,200,,,https://api.fususone.com/api/public/organizations/farmingtonpd/stats/
2026-09-15T23:08:15Z,fayettevillepd,Connect Fayetteville,Fayetteville,NC,1532,533,442,48,1500,439,2026-09-15T23:10:08Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/fayettevillepd/stats/
2026-09-15T23:08:15Z,federalwaypdwa,Connect Federal Way,Federal Way,WA,0,247,247,0,0,242,2026-09-15T23:10:09Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/federalwaypdwa/stats/
2026-09-15T23:08:15Z,flaglercountysheriff,Connect Flagler County,Flagler County,FL,932,2169,1962,0,10000,1942,2026-09-15T23:10:10Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/flaglercountysheriff/stats/
2026-09-15T23:08:15Z,forestparkpd,Connect Forest Park,Forest Park,GA,13,10503,239,295,10000,221,2026-09-15T23:10:11Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/forestparkpd/stats/
2026-09-15T23:08:15Z,forsyth,Connect Forsyth County,"Forsyth County, NC",SC,1441,1052,495,183,500,475,2026-09-15T23:10:12Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/forsyth/stats/
2026-09-15T23:08:15Z,forsythcosoga,Connect Forsyth County,Forsyth County,GA,776,6923,93,3347,1500,93,2026-09-15T23:10:13Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/forsythcosoga/stats/
2026-09-15T23:08:15Z,fortbendcounty,Connect Fort Bend,Fort Bend County,TX,559,205,201,4,500,201,2026-09-15T23:10:14Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/fortbendcounty/stats/
2026-09-15T23:08:15Z,fortwaltonbeachpd,Connect Fort Walton Beach,Fort Walton Beach,FL,6,261,222,9,300,226,2026-09-15T23:10:15Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/fortwaltonbeachpd/stats/
2026-09-15T23:08:15Z,garypd,Connect Gary,Gary,IN,1672,1321,795,0,1500,750,2026-09-15T23:10:16Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/garypd/stats/
2026-09-15T23:08:15Z,glendorapdca,Connect Glendora,Glendora,CA,20,101,101,0,0,101,2026-09-15T23:10:17Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/glendorapdca/stats/
2026-09-15T23:08:15Z,grapevinepdtx,Connect Grapevine,Grapevine,TX,2,261,230,25,1,213,2026-09-15T23:10:18Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/grapevinepdtx/stats/
2026-09-15T23:08:15Z,greeleypd,Connect Greeley,Greeley,CO,247,2415,245,2170,1500,229,2026-09-15T23:10:19Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/greeleypd/stats/
2026-09-15T23:08:15Z,greensboropd,Connect Greensboro,Greensboro,NC,752,1178,716,156,1501,676,2026-09-15T23:10:20Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/greensboropd/stats/
2026-09-15T23:08:15Z,greenvillecsosc,Connect Greenville County,Greenville County,SC,203,281,232,49,3000,232,2026-09-15T23:10:21Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/greenvillecsosc/stats/
2026-09-15T23:08:15Z,guilfordsheriff,Connect Guilford County,Guilford County ,NC,869,226,181,40,500,180,2026-09-15T23:10:22Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/guilfordsheriff/stats/
