quality_ok,snapshot_at,observed_at,org,program_count,programs,city,state,status,http_status,error,missing_metrics,source_url,totalRegisteredCameras,totalIntegratedCameras,totalOwnedCameras,totalSharedCameras,totalMaxCameras,subscribedCameras
True,2026-09-15T23:08:15Z,2026-09-15T23:09:16Z,cityofhawthorne,1,Connect Hawthorne,Hawthorne,CA,ok,200,,,https://api.fususone.com/api/public/organizations/cityofhawthorne/stats/,0,3715,874,2841,1500,844
True,2026-09-15T23:08:15Z,2026-09-15T23:09:17Z,cityofmanchester,1,Connect Manchester,City of Manchester,NH,ok,200,,,https://api.fususone.com/api/public/organizations/cityofmanchester/stats/,584,1006,436,570,1500,434
True,2026-09-15T23:08:15Z,2026-09-15T23:09:18Z,cityofmiamipd,1,Connect Miami,Miami,FL,ok,200,,,https://api.fususone.com/api/public/organizations/cityofmiamipd/stats/,2406,4383,1249,2905,1500,1231
True,2026-09-15T23:08:15Z,2026-09-15T23:09:19Z,cityofnewark,1,Connect Newark,Newark,NJ,ok,200,,,https://api.fususone.com/api/public/organizations/cityofnewark/stats/,1208,929,497,231,500,488
True,2026-09-15T23:08:15Z,2026-09-15T23:09:20Z,cityofomaha,1,Connect Omaha,Omaha,NE,ok,200,,,https://api.fususone.com/api/public/organizations/cityofomaha/stats/,1257,1559,760,698,1500,685
True,2026-09-15T23:08:15Z,2026-09-15T23:09:21Z,cityofoxford,1,Connect Oxford,City of Oxford,AL,ok,200,,,https://api.fususone.com/api/public/organizations/cityofoxford/stats/,12,1126,324,753,1500,321
True,2026-09-15T23:08:15Z,2026-09-15T23:09:22Z,cityofroswell,1,Connect Roswell,Roswell,GA,ok,200,,,https://api.fususone.com/api/public/organizations/cityofroswell/stats/,653,10641,512,373,2793,511
True,2026-09-15T23:08:15Z,2026-09-15T23:09:23Z,cityofshreveport,1,Connect Shreveport,Shreveport,LA,ok,200,,,https://api.fususone.com/api/public/organizations/cityofshreveport/stats/,1141,2829,2320,509,1500,2332
True,2026-09-15T23:08:15Z,2026-09-15T23:09:24Z,cityofstarkville,1,Connect Starkville,Starkville,MS,ok,200,,,https://api.fususone.com/api/public/organizations/cityofstarkville/stats/,879,851,574,277,500,563
True,2026-09-15T23:08:15Z,2026-09-15T23:09:25Z,cityofws,1,Connect Winston-Salem,the City of Winston-Salem,NC,ok,200,,,https://api.fususone.com/api/public/organizations/cityofws/stats/,1678,3276,1740,362,2000,1724
