org,metric,period,previous_count,current_count,change,change_pct,change_per_week,programs,city,state,previous_at,current_at,elapsed_days,from_zero,ranking_eligible,source_url
alpharetta,totalRegisteredCameras,previous,0,0,0,,0.0,Connect Alpharetta,Alpharetta,GA,2026-09-15T23:08:22Z,2026-09-15T23:17:33Z,0.006377,True,False,https://api.fususone.com/api/public/organizations/alpharetta/stats/
alpharetta,totalIntegratedCameras,previous,0,0,0,,0.0,Connect Alpharetta,Alpharetta,GA,2026-09-15T23:08:22Z,2026-09-15T23:17:33Z,0.006377,True,False,https://api.fususone.com/api/public/organizations/alpharetta/stats/
alpharetta,totalOwnedCameras,previous,0,0,0,,0.0,Connect Alpharetta,Alpharetta,GA,2026-09-15T23:08:22Z,2026-09-15T23:17:33Z,0.006377,True,False,https://api.fususone.com/api/public/organizations/alpharetta/stats/
alpharetta,totalSharedCameras,previous,0,0,0,,0.0,Connect Alpharetta,Alpharetta,GA,2026-09-15T23:08:22Z,2026-09-15T23:17:33Z,0.006377,True,False,https://api.fususone.com/api/public/organizations/alpharetta/stats/
alpharetta,totalMaxCameras,previous,2500,2500,0,0.0,0.0,Connect Alpharetta,Alpharetta,GA,2026-09-15T23:08:22Z,2026-09-15T23:17:33Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/alpharetta/stats/
alpharetta,subscribedCameras,previous,0,0,0,,0.0,Connect Alpharetta,Alpharetta,GA,2026-09-15T23:08:22Z,2026-09-15T23:17:33Z,0.006377,True,False,https://api.fususone.com/api/public/organizations/alpharetta/stats/
alsipil,totalRegisteredCameras,previous,737,737,0,0.0,0.0,Connect Alsip,Alsip,IL,2026-09-15T23:08:23Z,2026-09-15T23:17:34Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/alsipil/stats/
alsipil,totalIntegratedCameras,previous,977,977,0,0.0,0.0,Connect Alsip,Alsip,IL,2026-09-15T23:08:23Z,2026-09-15T23:17:34Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/alsipil/stats/
alsipil,totalOwnedCameras,previous,930,930,0,0.0,0.0,Connect Alsip,Alsip,IL,2026-09-15T23:08:23Z,2026-09-15T23:17:34Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/alsipil/stats/
alsipil,totalSharedCameras,previous,26,26,0,0.0,0.0,Connect Alsip,Alsip,IL,2026-09-15T23:08:23Z,2026-09-15T23:17:34Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/alsipil/stats/
alsipil,totalMaxCameras,previous,1500,1500,0,0.0,0.0,Connect Alsip,Alsip,IL,2026-09-15T23:08:23Z,2026-09-15T23:17:34Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/alsipil/stats/
